level,id_study,Country,iso,is_new,start_year,end_year,mid_year,survey,survey_short,survey_type,urban_rural,age_range_F,age_range_M,N_tc_F,N_tc_M,N_ldl_F,N_ldl_M,N_hdl_F,N_hdl_M,N_non_hdl_F,N_non_hdl_M,N_tc_hdl_r_F,N_tc_hdl_r_M,N_trg_F,N_trg_M,N_hyperchol_F,N_hyperchol_M,N_med_F,N_med_M,is_ldl_calc,is_ldl_fasting,fasting_hr,device_tc,device_ldl,device_hdl,device_trg,Region,Superregion
summary,BRA_2013_PBC-30,Brazil,BRA,Yes,2012,2013,2013,The 1982 Pelotas (Brazil) Birth Cohort: 30 years follow-up,PBC-30,Community,urban,30,30,1791,1741,1791,1741,1791,1741,1791,1741,1791,1741,1791,1740,1791,1741,,,0,0,,lab,lab,lab,lab,Southern and Tropical Latin America,Latin America and Caribbean
individual,BRA_2013_BHS,Brazil,BRA,Yes,2010,2015,2013,Baependi Heart Study,BHS,Community,rural, 18+, 18+,1425,1064,1409,1046,1424,1063,1424,1061,1424,1061,1421,1065,1425,1064,1407,1057,1,1,,,,,,Southern and Tropical Latin America,Latin America and Caribbean
individual,BRA_2013_PNS,Brazil,BRA,Yes,2013,2013,2013,Pesquisas Nacional de Saude,PNS,National,both, 18+, 18+,3103,2761,3103,2762,3096,2750,3096,2749,3096,2749,,,3103,2761,32671,25141,,,,,,,,Southern and Tropical Latin America,Latin America and Caribbean
individual,BRA_2013_riogrande,Brazil,BRA,Yes,2011,2014,2013,Profile of Risk Factors for Coronary Arterial Disease in Rio Grade do Sul - Revaluation After 10 Years,riogrande,Subnational,urban, 20+, 20+,596,460,508,400,510,406,509,406,509,406,599,460,596,460,92,53,1,,,,,,,Southern and Tropical Latin America,Latin America and Caribbean
individual,BRA_2014_erica,Brazil,BRA,Yes,2013,2014,2014,Estudo de Riscos Cardiovasculares em Adolescentes (ERICA),erica,National,both, 12-17, 12-17,22613,15089,22605,15076,22615,15091,22611,15088,22612,15088,22614,15092,22613,15089,,,1,1,,,,,,Southern and Tropical Latin America,Latin America and Caribbean
individual,BRA_2015_EPIFLORIPA,Brazil,BRA,Yes,2014,2015,2015,"EpiFloripa Cohort Study of Ageing - Wave 2, Clinical and Laboratory Exams",EPIFLORIPA,Community,urban, 63+, 63+,387,209,387,209,387,209,387,209,388,209,387,209,387,209,,,0,0,,,,,,Southern and Tropical Latin America,Latin America and Caribbean
individual,BRA_2015_EPIFLORIPAADULT,Brazil,BRA,Yes,2014,2015,2015,EpiFloripa Adults Cohort Study (EpiFloripa),EPIFLORIPAADULT,Community,urban, 25-65, 25-65,411,299,411,299,411,296,411,296,411,296,408,299,411,299,,,0,1,11.18238502,,,,,Southern and Tropical Latin America,Latin America and Caribbean
individual,BRA_2016_PBC93,Brazil,BRA,Yes,2015,2016,2016,The 1993 Pelotas (Brazil) Birth Cohort: 22 years follow-up,PBC93,Community,urban, 21-23, 21-23,1818,1660,1817,1659,1818,1659,1818,1659,1818,1659,1817,1660,1818,1660,,,0,0,3.36637931,,,,,Southern and Tropical Latin America,Latin America and Caribbean
individual,BRN_2011_NHANSS,Brunei Darussalam,BRN,Yes,2010,2011,2011,National Health And Nutritional Status Survey (NHANSS),NHANSS,National,both, 20-75, 20-75,762,629,761,624,762,628,762,628,762,628,763,628,762,629,808,678,1,1,,,,,,South East Asia,East and South East Asia
individual,BRN_2016_NNCDS,Brunei Darussalam,BRN,Yes,2015,2016,2016,National Non-Communicable Diseases Survey (NNCDS),NNCDS,National,both, 18-69, 18-69,1103,835,1090,811,1096,830,1093,828,1093,828,1105,836,1103,835,1019,753,1,1,,,,,,South East Asia,East and South East Asia
individual,BFA_2013_STEPS,Burkina Faso,BFA,Yes,2013,2013,2013,STEPS,STEPS,National,both, 25-64, 25-64,2234,2211,,,1951,1854,1092,895,1093,895,,,2234,2211,2241,2221,,,,cardiocheck,,cardiocheck,,West Africa,Sub-Saharan Africa
individual,CPV_2007_STEPS,Cabo Verde,CPV,Yes,2007,2007,2007,STEPS,STEPS,National,both, 25-64, 25-64,524,314,,,,,,,,,,,524,314,,,,,,accutrend,,,,West Africa,Sub-Saharan Africa
individual,KHM_2010_STEPS,Cambodia,KHM,Yes,2010,2010,2010,STEPS,STEPS,National,both, 25-64, 25-64,3282,1844,,,,,,,,,,,3282,1844,3297,1851,,,,accutrend,,,,South East Asia,East and South East Asia
monica,CAN_1987_MONICA-HALa,Canada,CAN,Yes,1985,1988,1987,"MONICA, Halifax",MONICA-HALa,Community,both, 25-64, 25-64,414,423,,,414,421,414,421,414,421,,,,,,,,,,lab,,lab,,High-income English-speaking countries,High-income Western countries
individual,CAN_1989_CHHS,Canada,CAN,Yes,1986,1992,1989,Canada Heart Health Survey,CHHS,National,both, 18-74, 18-74,9804,9592,9656,9288,9747,9515,9746,9511,9746,9511,9801,9583,9804,9592,1159,1160,1,1,,lab,lab,lab,lab,High-income English-speaking countries,High-income Western countries
monica,CAN_1995_MONICA-HALa,Canada,CAN,Yes,1995,1995,1995,"MONICA, Halifax",MONICA-HALa,Community,both, 25-64, 25-64,281,269,,,281,268,281,268,281,268,,,,,,,,,,lab,,lab,,High-income English-speaking countries,High-income Western countries
individual,CAN_1996_CaMos,Canada,CAN,Yes,1995,1997,1996,Canadian Multicentre Osteoporosis Study (CaMos),CaMos,Community,both, 25+, 25+,369,139,368,139,369,139,369,139,369,139,369,139,369,139,6539,2884,1,1,,,,,,High-income English-speaking countries,High-income Western countries
individual,CAN_2006_CaMos,Canada,CAN,Yes,2005,2008,2006,Canadian Multicentre Osteoporosis Study (CaMos),CaMos,Subnational,both, 35+, 35+,1466,605,1466,605,1466,605,1466,605,1466,605,1466,605,1466,605,3993,1570,1,1,,,,,,High-income English-speaking countries,High-income Western countries
summary,CAN_2008_CHMS,Canada,CAN,Yes,2007,2009,2008,"Canadian Health Measures Survey, Cycle 1",CHMS,National,both, 6-79, 6-79,2724,2556,1325,1280,2724,2554,2724,2554,2724,2554,1325,1288,2724,2556,,,0,1,10+,lab,lab,lab,lab,High-income English-speaking countries,High-income Western countries
summary,CAN_2010_CHMS,Canada,CAN,Yes,2009,2011,2010,"Canadian Health Measures Survey, Cycle 2",CHMS,National,both, 6-79, 6-79,2864,2693,1448,1335,2865,2695,2864,2693,2864,2693,1448,1336,2864,2693,,,1,1,10+,lab,lab,lab,lab,High-income English-speaking countries,High-income Western countries
summary,CAN_2013_CHMS,Canada,CAN,Yes,2012,2013,2013,"Canadian Health Measures Survey, Cycle 3",CHMS,National,both, 6-79, 6-79,2519,2551,1232,1311,2520,2551,2519,2551,2519,2551,1238,1322,2519,2551,,,1,1,10+,lab,lab,lab,lab,High-income English-speaking countries,High-income Western countries
summary,CAN_2015_CHMS,Canada,CAN,Yes,2014,2015,2015,"Canadian Health Measures Survey, Cycle 4",CHMS,National,both, 6-79, 6-79,2503,2521,1220,1177,2504,2519,2503,2519,2503,2519,1223,1194,2503,2521,,,1,1,10+,lab,lab,lab,lab,High-income English-speaking countries,High-income Western countries
summary,CAN_2017_CHMS,Canada,CAN,Yes,2016,2017,2017,"Canadian Health Measures Survey, Cycle 5",CHMS,National,both, 6-79, 6-79,2444,2475,1170,1195,2444,2474,2444,2473,2444,2473,1175,1208,2444,2475,,,,,,lab,lab,lab,lab,High-income English-speaking countries,High-income Western countries
individual,CHL_1993_citMiquel,Chile,CHL,Yes,1992,1993,1993,"Miquel et al., Gastroenterology 115:937-46, 1998",citMiquel,Community,urban, 18+, 18+,1032,660,1031,660,1032,659,1034,660,1034,660,1032,659,1032,660,,,1,1,,,,,,Southern and Tropical Latin America,Latin America and Caribbean
individual,CHL_2000_citNervi,Chile,CHL,Yes,2000,2000,2000,"Nervi et al., J Hepatol 45:299-305, 2006",citNervi,Community,urban, 18+, 18+,625,335,624,335,625,334,625,334,625,334,625,335,625,335,,,1,1,,,,,,Southern and Tropical Latin America,Latin America and Caribbean
individual,CHL_2003_ENS,Chile,CHL,Yes,2003,2003,2003,Encuesta Nacional de Salud,ENS,National,both, 17+, 17+,1067,909,1067,905,1067,906,1067,906,1067,906,1066,909,1067,909,1970,1644,1,1,,lab,lab,lab,lab,Southern and Tropical Latin America,Latin America and Caribbean
summary,CHL_2005_CARMELA,Chile,CHL,Yes,2004,2005,2005,CArdiovascular Risk factors Multiple Evaluation in Latin America (CARMELA),CARMELA,Community,urban, 25-64, 25-64,872,783,852,743,872,783,872,783,872,783,872,783,,,,,1,1,12+,lab,lab,lab,lab,Southern and Tropical Latin America,Latin America and Caribbean
individual,CHL_2010_ENS,Chile,CHL,Yes,2009,2010,2010,Encuesta Nacional de Salud,ENS,National,both, 15+, 15+,1600,1122,1597,1112,1599,1121,1599,1121,1599,1121,1600,1119,1600,1122,2887,1946,1,1,,lab,lab,lab,lab,Southern and Tropical Latin America,Latin America and Caribbean
individual,CHL_2012_CESCAS,Chile,CHL,Yes,2011,2012,2012,CESCAS Study,CESCAS,Community,urban, 30-79, 30-79,976,895,973,888,976,895,976,895,976,895,976,894,976,895,1020,923,1,1,,,,,,Southern and Tropical Latin America,Latin America and Caribbean
individual,CHL_2016_ENS,Chile,CHL,Yes,2016,2017,2016,Encuesta Nacional de Salud,ENS,National,both, 15+, 15+,2349,1366,2336,1352,2349,1366,2349,1366,2349,1366,2349,1366,2349,1366,3918,2315,1,1,,,,,,Southern and Tropical Latin America,Latin America and Caribbean
summary,CHN_1983_SinoMONICA-SH,China,CHN,Yes,1983,1983,1983,Sino-MONICA Shanghai,SinoMONICA-SH,Community,rural, 30-64, 30-64,627,621,,,624,618,624,618,624,618,,,627,621,,,,,,lab,,lab,,East Asia,East and South East Asia
summary,CHN_1985_SinoMONICA-BJ,China,CHN,Yes,1984,1985,1985,Sino-MONICA Beijing,SinoMONICA-BJ,Community,both, 25-64, 25-64,857,816,,,854,814,854,814,854,814,,,857,816,,,,,,lab,,lab,,East Asia,East and South East Asia
summary,CHN_1988_SinoMONICA-SD,China,CHN,Yes,1988,1988,1988,Sino-MONICA Shandong,SinoMONICA-SD,Community,urban, 25-64, 25-64,221,211,,,221,211,221,211,221,211,,,221,211,,,,,,lab,,lab,,East Asia,East and South East Asia
summary,CHN_1988_SinoMONICA-SC,China,CHN,Yes,1988,1988,1988,Sino-MONICA Sichuan,SinoMONICA-SC,Community,both, 25-64, 25-64,333,313,,,333,312,333,312,333,312,,,333,313,,,,,,lab,,lab,,East Asia,East and South East Asia
summary,CHN_1988_SinoMONICA-HLJ,China,CHN,Yes,1988,1988,1988,Sino-MONICA Heilongjiang,SinoMONICA-HLJ,Community,urban, 25-64, 25-64,800,800,,,800,800,800,800,800,800,,,800,800,,,,,,lab,,lab,,East Asia,East and South East Asia
summary,CHN_1988_SinoMONICA-SH,China,CHN,Yes,1986,1989,1988,Sino-MONICA Shanghai,SinoMONICA-SH,Community,rural, 25-64, 25-64,752,674,,,753,675,751,674,751,674,,,752,674,,,,,,lab,,lab,,East Asia,East and South East Asia
summary,CHN_1988_SinoMONICA-HN,China,CHN,Yes,1988,1988,1988,Sino-MONICA Henan,SinoMONICA-HN,Community,urban, 25-64, 25-64,427,345,,,427,345,427,345,427,345,,,427,345,,,,,,lab,,lab,,East Asia,East and South East Asia
summary,CHN_1988_SinoMONICA-HB,China,CHN,Yes,1988,1988,1988,Sino-MONICA Hebei,SinoMONICA-HB,Community,both, , 25-64,,704,,,,686,,686,,686,,,,704,,,,,,lab,,lab,,East Asia,East and South East Asia
summary,CHN_1988_SinoMONICA-NM,China,CHN,Yes,1988,1988,1988,Sino-MONICA Neimenggu,SinoMONICA-NM,Community,urban, 25-64, 25-64,400,397,,,400,349,400,349,400,349,,,400,397,,,,,,lab,,lab,,East Asia,East and South East Asia
summary,CHN_1989_SinoMONICA-FJ,China,CHN,Yes,1989,1989,1989,Sino-MONICA Fujian,SinoMONICA-FJ,Community,urban, 25-64, 25-64,189,178,,,189,178,189,178,189,178,,,189,178,,,,,,lab,,lab,,East Asia,East and South East Asia
summary,CHN_1989_SinoMONICA-JX,China,CHN,Yes,1988,1989,1989,Sino-MONICA Jiangxi,SinoMONICA-JX,Community,urban, 25-64, 25-64,360,348,,,360,349,360,348,360,348,,,360,348,,,,,,lab,,lab,,East Asia,East and South East Asia
summary,CHN_1989_SinoMONICA-JS,China,CHN,Yes,1989,1989,1989,Sino-MONICA Jiangsu,SinoMONICA-JS,Community,rural, 25-64, 25-64,399,397,,,399,398,399,397,399,397,,,399,397,,,,,,lab,,lab,,East Asia,East and South East Asia
summary,CHN_1989_SinoMONICA-BJ,China,CHN,Yes,1988,1989,1989,Sino-MONICA Beijing,SinoMONICA-BJ,Community,both, 25-64, 25-64,861,700,,,860,697,859,696,859,696,,,861,700,,,,,,lab,,lab,,East Asia,East and South East Asia
summary,CHN_1989_SinoMONICA-JL,China,CHN,Yes,1988,1989,1989,Sino-MONICA Jilin,SinoMONICA-JL,Community,urban, 25-64, 25-64,408,391,,,388,378,388,378,388,378,,,408,391,,,,,,lab,,lab,,East Asia,East and South East Asia
summary,CHN_1989_SinoMONICA-LN,China,CHN,Yes,1988,1989,1989,Sino-MONICA Liaoning,SinoMONICA-LN,Community,both, 25-64, 25-64,733,728,,,733,728,732,728,732,728,,,733,728,,,,,,lab,,lab,,East Asia,East and South East Asia
summary,CHN_1991_SinoMONICA-SH,China,CHN,Yes,1991,1991,1991,Sino-MONICA Shanghai,SinoMONICA-SH,Community,rural, 30-64, 30-64,624,564,,,624,564,624,564,624,564,,,624,564,,,,,,lab,,lab,,East Asia,East and South East Asia
individual,CHN_1992_APCSC-Fangshan,China,CHN,Yes,1991,1992,1992,Fangshan Cohort Study,APCSC-Fangshan,Community,urban, 34-86, 34-86,562,272,525,245,544,258,537,255,537,256,555,268,562,272,,,1,,,,,,,East Asia,East and South East Asia
individual,CHN_1992_APCSC-Huashan,China,CHN,Yes,1992,1992,1992,Huashan Study,APCSC-Huashan,Community,urban, 35-75, 35-75,936,866,907,831,933,863,932,862,932,863,935,861,936,866,,,1,,,,,,,East Asia,East and South East Asia
individual,CHN_1992_APCSC-Anzhen02,China,CHN,Yes,1992,1993,1992,Anzhen 02 Cohort Study,APCSC-Anzhen02,Community,urban, 34-65, 34-65,2112,2029,2083,1986,2109,2023,2107,2023,2107,2023,2111,2028,2112,2029,,,1,,,,,,,East Asia,East and South East Asia
summary,CHN_1992_SinoMONICA-SC,China,CHN,Yes,1992,1992,1992,Sino-MONICA Sichuan,SinoMONICA-SC,Community,both, 25-64, 25-64,537,626,,,537,626,537,626,537,626,,,537,626,,,,,,lab,,lab,,East Asia,East and South East Asia
summary,CHN_1993_SinoMONICA-BJ,China,CHN,Yes,1993,1993,1993,Sino-MONICA Beijing,SinoMONICA-BJ,Community,both, 25-64, 25-64,814,609,,,814,609,814,609,814,609,,,814,609,,,,,,lab,,lab,,East Asia,East and South East Asia
summary,CHN_1993_SinoMONICA-AH,China,CHN,Yes,1993,1993,1993,Sino-MONICA Anhui,SinoMONICA-AH,Community,urban, 25-64, 25-64,195,192,,,195,192,195,192,195,192,,,195,192,,,,,,lab,,lab,,East Asia,East and South East Asia
summary,CHN_1993_SinoMONICA-LN,China,CHN,Yes,1993,1993,1993,Sino-MONICA Liaoning,SinoMONICA-LN,Community,both, 25-64, 25-64,500,493,,,500,492,500,492,500,492,,,500,493,,,,,,lab,,lab,,East Asia,East and South East Asia
summary,CHN_1993_SinoMONICA-JS,China,CHN,Yes,1993,1993,1993,Sino-MONICA Jiangsu,SinoMONICA-JS,Community,urban, 25-64, 25-64,365,462,,,365,462,365,462,365,462,,,365,462,,,,,,lab,,lab,,East Asia,East and South East Asia
summary,CHN_2001_InterASIA,China,CHN,Yes,2000,2001,2001,The International Collaborative Study of Cardiovascular Disease in Asia,InterASIA,National,both, 35-74, 35-74,7860,7355,7839,7327,7854,7353,7851,7350,7851,7350,7859,7351,7862,7358,,,1,1,10+,lab,lab,lab,,East Asia,East and South East Asia
summary,CHN_2002_CNNHS,China,CHN,Yes,2002,2002,2002,China National Nutrition and Health Survey,CNNHS,National,both, 10+, 10+,32037,29862,31744,29405,32142,29960,32030,29856,32030,29856,32151,29970,32073,29890,,,1,1,Oct-14,,,,,East Asia,East and South East Asia
last round,CHN_2002_3156014,China,CHN,No,NA,NA,2002,"Fan, 2008 (10)",NA,Subnational,both, 15+, 15+,7766,5526,,,,,,,,,,,,,,,,,,,,,,East Asia,East and South East Asia
individual,CHN_2005_XCAS,China,CHN,Yes,2004,2005,2005,Xinjiang Children and Adolescent Survey,XCAS,Community,urban, 10-18, 10-18,218,227,218,227,214,218,214,218,214,218,218,227,218,227,,,1,1,,,,,,East Asia,East and South East Asia
individual,CHN_2006_BES,China,CHN,Yes,2006,2006,2006,Beijing Eye Study,BES,Community,both, 45+, 45+,1647,1247,1667,1258,1664,1260,1658,1255,1659,1256,1667,1264,1647,1247,1843,1402,0,1,,,,,,East Asia,East and South East Asia
individual,CHN_2007_HES,China,CHN,Yes,2006,2007,2007,Handan Eye Study,HES,Community,rural, 30+, 30+,3120,2494,3122,2493,3122,2494,3122,2492,3122,2492,3123,2492,3120,2494,,,1,1,,,,,,East Asia,East and South East Asia
individual,CHN_2008_CHARLS,China,CHN,Yes,2008,2008,2008,"China Health and Retirement Longitudinal Study (CHARLS), pilot survey",CHARLS,Subnational,both, 45+, 45+,895,887,,,886,853,849,811,849,811,,,895,887,,,,,,cardiocheck,,cardiocheck,,East Asia,East and South East Asia
individual,CHN_2008_CLHLS,China,CHN,Yes,2008,2009,2008,Chinese Longitudinal Healthy Longevity Survey,CLHLS,National,both, 65+, 65+,725,403,778,483,776,483,724,403,724,403,778,482,725,403,,,0,1,,,,,,East Asia,East and South East Asia
report,CHN_2008_CNDMDS,China,CHN,Report,2007,2008,2008,"China National Diabetes and Metabolic Disorders Study; Yang et al., Circulation 125:2212-21, 2012",CNDMDS,National,both, 20+, 20+,27530,18227,27530,18227,27530,18227,,,,,,,,,,,,1,10+,,,,,East Asia,East and South East Asia
summary,CHN_2009_NISCOC,China,CHN,Yes,2009,2009,2009,The nutrition-based comprehensive intervention study on childhood obesity in China,NISCOC,Subnational,urban, 6-13, 6-13,4866,5179,4875,5185,4871,5183,4862,5175,4862,5175,4857,5145,4866,5179,,,0,1,12,lab,lab,lab,lab,East Asia,East and South East Asia
individual,CHN_2009_CHNS,China,CHN,Yes,2009,2009,2009,China Health and Nutrition Study,CHNS,National,both, 10+, 10+,4794,4357,4785,4337,4783,4349,4794,4355,4795,4356,4794,4356,4794,4357,,,0,1,,lab,lab,lab,lab,East Asia,East and South East Asia
summary,CHN_2010_CNCDS,China,CHN,Yes,2010,2010,2010,China Noncommunicable  Disease Surveillance,CNCDS,National,both, 18+, 18+,52553,44378,52903,44613,52822,44489,52502,44282,52502,44282,52957,44663,52553,44378,,,0,1,10,lab,lab,lab,lab,East Asia,East and South East Asia
summary,CHN_2010_CKD,China,CHN,Yes,2009,2010,2010,Chinese National Survey of Chronic Kidney Disease,CKD,National,both , 18+, 18+,26960,20062,24150,17468,24175,17479,24120,17435,24120,17435,26999,20092,26960,20062,,,0,1,> 8 hours,lab,lab,lab,lab,East Asia,East and South East Asia
individual,CHN_2011_CHARLS,China,CHN,Yes,2011,2012,2011,"China Health and Retirement Longitudinal Study (CHARLS), baseline survey",CHARLS,National,both, 45+, 45+,5225,4543,5207,4517,5226,4539,5218,4532,5218,4532,5226,4539,5225,4543,,,0,1,,,,,,East Asia,East and South East Asia
individual,CHN_2011_BES,China,CHN,Yes,2011,2011,2011,Beijing Eye Study,BES,Community,both, 50+, 50+,1419,1033,1420,1033,1420,1033,1419,1033,1419,1033,1420,1033,1419,1033,1963,1505,0,1,,,,,,East Asia,East and South East Asia
individual,CHN_2012_CLHLS,China,CHN,Yes,2011,2012,2012,Chinese Longitudinal Healthy Longevity Survey,CLHLS,National,both, 65+, 65+,1229,1002,1230,1001,1230,1001,1228,1001,1228,1001,1229,997,1229,1002,,,0,1,,,,,,East Asia,East and South East Asia
summary,CHN_2013_KS,China,CHN,Yes,2012,2013,2013,The Kailuan Study,KS,Community,urban, 18+, 18+,22444,81363,22433,81253,22401,81090,22396,81066,22396,81066,22394,81153,22444,81363,,,0,1,8,lab,lab,lab,lab,East Asia,East and South East Asia
individual,CHN_2014_CLHLS,China,CHN,Yes,2014,2014,2014,Chinese Longitudinal Healthy Longevity Survey,CLHLS,National,both, 65+, 65+,1327,1083,1317,1073,1329,1085,1326,1081,1326,1083,1328,1085,1327,1083,,,1,,,,,,,East Asia,East and South East Asia
summary,CHN_2015_KS,China,CHN,Yes,2014,2015,2015,The Kailuan Study,KS,Community,urban, 18+, 18+,19261,73445,19227,73282,19256,73361,19244,73304,19244,73304,19240,73360,19261,73445,,,0,1,8,lab,lab,lab,lab,East Asia,East and South East Asia
individual,HKG_1991_APCSC-HKOldOld,China (Hong Kong SAR),HKG,Yes,1991,1991,1991,"The Hong Kong study on Health, health risk and quality of life in the Chinese elderly cohort",APCSC-HKOldOld,Community,both, 70+, 70+,101,94,98,87,101,94,101,94,101,94,101,94,101,94,,,1,,,,,,,East Asia,East and South East Asia
individual,HKG_1996_CRFPS,China (Hong Kong SAR),HKG,Yes,1995,1996,1996,Hong Kong Cardiovascular Risk Factor Prevalence Study 1995-1996,CRFPS,National,both, 25-74, 25-74,1479,1409,1468,1393,1479,1409,1479,1408,1479,1408,1477,1407,1479,1409,1483,1412,1,1,,,,,,East Asia,East and South East Asia
last round,COL_2001_12170201,Colombia,COL,No,NA,NA,2001,CINDI/CARMEN-Bucaramaga; Bautista 2006 (75),NA,Community,urban, 25-64, 25-64,1216,620,,,,,,,,,,,,,,,,,,,,,,Central Latin America,Latin America and Caribbean
summary,COL_2005_CARMELA,Colombia,COL,Yes,2004,2005,2005,CArdiovascular Risk factors Multiple Evaluation in Latin America (CARMELA),CARMELA,Community,urban, 25-64, 25-64,815,738,788,684,815,738,815,738,815,738,815,738,,,,,1,1,12+,lab,lab,lab,lab,Central Latin America,Latin America and Caribbean
individual,COL_2007_ENS,Colombia,COL,Yes,2007,2007,2007,Encuesta Nacional de Salud,ENS,National,both, 18-69, 18-69,7357,5075,6636,4357,7345,4834,6992,4555,6992,4555,7601,5406,7357,5075,,,1,1,12.50228094,cholestech,cholestech,cholestech,cholestech,Central Latin America,Latin America and Caribbean
individual,COL_2010_STEPS,Colombia,COL,Yes,2010,2010,2010,STEPS,STEPS,Subnational,urban, 15-64, 15-64,834,619,,,,,,,,,,,834,619,,,,,,accutrend,,,,Central Latin America,Latin America and Caribbean
individual,COL_2015_STEPS,Colombia,COL,Yes,2015,2015,2015,STEPS,STEPS,Subnational,both, 15-64, 15-64,589,386,589,386,589,386,589,386,589,386,590,386,589,386,196,99,0,,,,,,,Central Latin America,Latin America and Caribbean
individual,COM_2011_STEPS,Comoros,COM,Yes,2011,2011,2011,STEPS,STEPS,National,both, 25-64, 25-64,1171,338,,,,,,,,,,,1171,338,1507,544,,,,accutrend,,,,East Africa,Sub-Saharan Africa
